Play_Position	Identifier_in_play	Text	Polarity_differentiated	Polarity_threefold	Polarity_binary
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 12.Replik, Drama-Nummer: 12, ID:12	1_1_12_12_12	DIE WITWE:Ja, ich bin es gewiß überzeugt, daß sie mich beide lieben. Beide lieben mich aufrichtig. Nur schien mir Damon etwas zu flüchtig, und Leander etwas zu ungestüm.	mixed	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 13.Replik, Drama-Nummer: 13, ID:13	1_1_13_13_13	LISETTE:Beinahe möchte ich Sie itzt etwas fragen?	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 14.Replik, Drama-Nummer: 14, ID:14	1_1_14_14_14	DIE WITWE:Nun, so laß doch hören.	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 15.Replik, Drama-Nummer: 15, ID:15	1_1_15_15_15	LISETTE:Werden Sie mir aber aufrichtig antworten?	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 16.Replik, Drama-Nummer: 16, ID:16	1_1_16_16_16	DIE WITWE:Ob ich dir aufrichtig antworten werde? Ich sehe nicht, was mich nötigen sollte, dir eine erdichtete Antwort zu geben. Wenn mir deine Frage nicht ansteht, so dürfte ich dir ja lieber gar nicht antworten.	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 17.Replik, Drama-Nummer: 17, ID:17	1_1_17_17_17	LISETTE:Sie glauben, daß Sie von beiden geliebt werden. Und vielleicht mit Recht. Welchen von ihnen lieben Sie denn aber?	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 18.Replik, Drama-Nummer: 18, ID:18	1_1_18_18_18	DIE WITWE:Welchen?	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 19.Replik, Drama-Nummer: 19, ID:19	1_1_19_19_19	LISETTE:Ja.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 20.Replik, Drama-Nummer: 20, ID:20	1_1_20_20_20	DIE WITWE:Welchen? die Frage ist wunderlich. Ich liebe sie beide.	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 21.Replik, Drama-Nummer: 21, ID:21	1_1_21_21_21	LISETTE:Nun, das ist gut. Sie werden sie also auch beide heiraten?	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 22.Replik, Drama-Nummer: 22, ID:22	1_1_22_22_22	DIE WITWE:Du mengest alles unter einander. ltzo war die Rede vom Lieben und nicht vom Heiraten. Alle Freier, die ich gehabt habe, waren teils eitle verliebte Hasen, teils eigennützige niederträchtige Seelen. Was habe ich nicht von beiden ausstehen müssen! Nur Damon und Leander unterschieden sich gleich anfangs von ihnen. Ich nahm diesen Unterschied mit dem größten Vergnügen wahr. Und ich glaube auch, daß ich es ihnen selbst habe deutlich genug zu verstehen gegeben, wie sehr ich sie zu unterscheiden wüßte. Ich habe allen den Abschied gegeben, die nicht selbst so klug waren, ihn zu nehmen; nur sie habe ich da behalten, und sehe sie noch mit Vergnügen bei mir.	mixed	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 23.Replik, Drama-Nummer: 23, ID:23	1_1_23_23_23	LISETTE:Was soll aber daraus werden?	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 24.Replik, Drama-Nummer: 24, ID:24	1_1_24_24_24	DIE WITWE:Ich will es mit abwarten. Kann ich nicht beider Liebste werden, so kann ich doch wohl beider Freundin sein. Ja, gewiß, die Freundschaft kömmt mir itzt viel reizender vor, als die Liebe. Ich muß dieses dem Exempel meiner zärtlichen Liebhaber zuschreiben.	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 25.Replik, Drama-Nummer: 25, ID:25	1_1_25_25_25	LISETTE:Was, die Freundschaft? die Freundschaft reizender, als die Liebe? die trockne Freundschaft! Reden Sie mir nur nicht so philosophisch. Ich glaube doch davon so viel, als ich will. Ihr Herz denkt ganz anders. Und es würde ihm auch gewiß nicht viel Ehre machen, wenn es mit dem Munde übereinstimmte. Lassen Sie mich einmal versuchen, ob ich seine stumme Sprache verstehe. Ich höre es; ja, ja, es spricht: Wie? sind das die aufrichtigen Liebhaber? was ist das für eine neue Art der Liebe, die der Anblick eines Freundes unterdrückt? keiner wagt es, mir seinen Freund aufzuopfern? O die Unwürdigen! Ich will sie hassen, ja ich will – – aber werde ich auch können? werde ich auch – – –	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 26.Replik, Drama-Nummer: 26, ID:26	1_1_26_26_26	DIE WITWE:Schweig! schweig! Lisette. Du verstehst seine stumme Sprache sehr schlecht.	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 27.Replik, Drama-Nummer: 27, ID:27	1_1_27_27_27	LISETTE:O! verzeihen Sie mir. Dieses Einfallen in die Rede, versichert mich, daß ich sie sehr wohl verstehe. Je nun, wie kann es anders sein? Ich würde selbst verdrießlich sein, wenn mir die Freundschaft so einen Streich spielte. Überlegen Sie es nur, wer ist sonst daran schuld, als die Freundschaft, daß Sie itzo, da Sie zwei Anbeter haben könnten, gar keinen haben? Ach! es wäre eine Schande, wenn die Liebe nicht stärker sein sollte, als die Freundschaft.	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 28.Replik, Drama-Nummer: 28, ID:28	1_1_28_28_28	DIE WITWE:Ach!	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 29.Replik, Drama-Nummer: 29, ID:29	1_1_29_29_29	LISETTE:Ha! ha! den Ton verstehe ich auch. Hören Sie einmal, ob ich ihn geschickt umschreiben kann. Nicht wahr? er will so viel sagen: Lisette, nötige mich nicht weiter, dir etwas zu gestehen, was du schon weißt. Wollte der Himmel! daß die Liebe nur bei einem mächtiger wäre, als die Freundschaft! Kannst du was beitragen, meine Liebhaber empfindlicher und weniger gewissenhaft zu machen – –	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 30.Replik, Drama-Nummer: 30, ID:30	1_1_30_30_30	DIE WITWE:Sage mir, was du schwärmst?	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 31.Replik, Drama-Nummer: 31, ID:31	1_1_31_31_31	LISETTE:O! um Verzeihung. Es sind Ihre eigenen Schwärmereien.	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 32.Replik, Drama-Nummer: 32, ID:32	1_1_32_32_32	DIE WITWE:Gesetzt nun, ich gestünde dir, daß ich es lieber sehen würde, wenn mir beide ihre Liebe noch ferner entdeckten, wenn sich beide die zärtlichste Mühe um mein Herz gäben, wenn einer dem andern einen Rang abzulaufen suchte, wenn sie meine Gunstbezeigungen selbst, die ich dem einem mehr oder weniger zukommen ließe, ein wenig uneinig machte[n], wenn ich alsdenn selbst das Vergnügen haben könnte, sie wieder zu vereinigen, um sie aufs neue zu trennen, gesetzt, sage ich, ich gestünde dir dieses, was wäre es nun mehr?	mixed	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 33.Replik, Drama-Nummer: 33, ID:33	1_1_33_33_33	LISETTE:Es wäre allerdings etwas mehr, als Sie mir vorhin zugestehen wollten.	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 34.Replik, Drama-Nummer: 34, ID:34	1_1_34_34_34	DIE WITWE:Ich weiß aber auch gar nicht, was ich für Ursache habe, dir von meinem Herzen Rechenschaft zu geben?	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 35.Replik, Drama-Nummer: 35, ID:35	1_1_35_35_35	LISETTE:Ich bin mit Ihnen einig, Sie haben keine, Sie tun es aus bloßer Gütigkeit. Aber Sie sollten nicht umsonst so gütig gewesen sein, ich versichre Sie. Ich will mein möglichstes tun, daß es bald dahin kömmt, wohin Sie es gern haben wollen. Aber sagen Sie mir nur erst, für wen wollten Sie sich wohl am liebsten erklären; für Damon oder Leandern? Sie besinnen sich? Hören Sie, es fällt mir ein guter Rat ein. Sie wissen, daß sie beide vor einem Jahre, beinahe ihr ganzes Vermögen, jeder auf ein besonderes Schiff, welche nach Ostindien handeln, gegeben haben. Sie warten alle Tage auf ihre Rückkunft. Wie wäre es, wenn wir auch darauf warteten, und uns alsdenn für denjenigen erklärten, der der glücklichste bei diesem Handel gewesen ist?	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 36.Replik, Drama-Nummer: 36, ID:36	1_1_36_36_36	DIE WITWE:Ich lasse mir es gefallen. Nur – – –	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 1.Szene, 37.Replik, Drama-Nummer: 37, ID:37	1_1_37_37_37	LISETTE:Hier kömmt Herr Damon. Lassen Sie mich einmal mit ihm alleine, ich will ihn ausholen.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 1.Replik, Drama-Nummer: 38, ID:1	1_2_1_38_1	LISETTE:Ihre Dienerin, Herr Damon. Sie scheinen mir jemanden zu suchen. Wer ist es?	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 2.Replik, Drama-Nummer: 39, ID:2	1_2_2_39_2	DAMON:Leander hat mich hier erwarten wollen. Habt Ihr ihn nicht gesehen?	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 3.Replik, Drama-Nummer: 40, ID:3	1_2_3_40_3	LISETTE:Nein. Nun – – Aber müssen Sie denn deswegen gleich wieder fort gehen? Verziehen Sie doch einen Augenblick. Wird Ihnen die Zeit schon zu lang, daß er Ihnen nicht gleich seine süßen Träume von der Freundschaft vorplaudern soll? Wenn Sie nur deswegen etwa hergekommen sind angenehme Lügen und entzückende Gedanken von Ihrem Freunde zu hören; verziehen Sie, verziehen Sie, ich will es so gut machen, als er. Seit Sie und Herr Leander einander hier angetroffen, schallen ja alle Wände von dem Lobe der Freundschaft wider; ich werde doch wohl was behalten haben.	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 4.Replik, Drama-Nummer: 41, ID:4	1_2_4_41_4	DAMON:Diese Spöttereien geschehen auf Unkosten meines Freundes. Sie müssen mir notwendig zuwider sein. Wenn ich bitten darf, schweigt!	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 5.Replik, Drama-Nummer: 42, ID:5	1_2_5_42_5	LISETTE:Ei! sonst jemand möchte bei solchen Umständen schweigen. Überlegen Sie es doch nur selbst. Sie sind in dem Hause einer jungen liebenswürdigen Witwe. Sie lieben sie. Sie suchen ihre Gegenliebe. Aber, mein Gott! auf was für eine besondre Art! Ein Freund macht Sie in Ihrem Antrage schüchtern. Sie wollen ihn nicht beleidigen. Ihre Liebe ist viel zu schwach, seine ungegründeten Vorwürfe zu erdulden. Sie wollen es lieber mit Ihrer Liebsten, als mit Ihrem Freunde verderben. Je nun, möchte es doch noch endlich sein, wenn der andre nur nicht eben so ein Grillenfänger wäre.	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 6.Replik, Drama-Nummer: 43, ID:6	1_2_6_43_6	DAMON:Unsre Aufführung darf Eurer Frau gar nicht seltsam vorkommen. Sie weiß unsrer beider Neigung. Wir haben uns ihr beide erklärt, ehe wir wußten, daß wir ihr einerlei erkläret hätten. Wir bestreben uns, aufrichtige Freunde zu sein. Wäre es also nicht unbillig, wenn ich dem Leander, oder Leander mir, durch ungestümes Anhalten, ein Herz entreißen wollte, das sich vielleicht mit der Zeit aus Neigung an einen von uns ergeben wird?	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 7.Replik, Drama-Nummer: 44, ID:7	1_2_7_44_7	LISETTE:Aus Neigung? Als wenn ein Frauenzimmer nicht für alle wohlgemachte Mannspersonen einerlei Neigung hätte. Zum Exempel, was würde mir daran gelegen sein, ob ich Sie, oder Herr Leandern bekommen sollte. Nehmen Sie mir es nicht übel, daß ich meinem Stolze einmal solche süße Träume vorhalte. Sie und Herr Leander sind von einer gesunden Leibesbeschaffenheit. Stark und munter. Zwischen zwei gleich guten Sachen kann man sich in der Wahl nicht irren. Der erste der beste. Nur blindlings zugegriffen!	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 8.Replik, Drama-Nummer: 45, ID:8	1_2_8_45_8	DAMON:Lisette, Ihr beurteilt Eure Frau nach Euch; und gewiß Ihr macht ihr dadurch nicht viel Ehre. Ich kenne sie zu wohl. Sie hat edlere Gedanken von der Liebe.	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 9.Replik, Drama-Nummer: 46, ID:9	1_2_9_46_9	LISETTE:Ach, nehmen Sie mir es nicht übel. Liebe bleibt Liebe. Eine Königin liebt nicht edler, als eine Bettlerin, und eine Philosophin nicht edler, als eine dumme Bauersfrau. Es ist Maus, wie Mutter. Und ich und meine Frau würden in dem Wesentlichen der Liebe gewiß nicht um ein Haar unterschieden sein.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 10.Replik, Drama-Nummer: 47, ID:10	1_2_10_47_10	DAMON:Lebt wohl! Ich habe itzo just weder Lust, noch Zeit, Eure ungegründeten Reden zu widerlegen. Sollte Herr Leander kommen, so bittet ihn, einen Augenblick zu verziehen. Ich habe was Nötiges vorher zu verrichten. Ich werde gleich wieder da sein.	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 11.Replik, Drama-Nummer: 48, ID:11	1_2_11_48_11	LISETTE:Je, zum Henker! so warten Sie noch einen Augenblick. Sie nennen meine Reden ungegründet? Nun, horchen Sie einmal. Itzo will ich Ihnen was sagen. Vielleicht werden sie Ihnen alsdenn gegründeter vorkommen.	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 12.Replik, Drama-Nummer: 49, ID:12	1_2_12_49_12	DAMON:Nun, so werde ich was hören.	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 13.Replik, Drama-Nummer: 50, ID:13	1_2_13_50_13	LISETTE:Wissen Sie, was meine Frau beschlossen hat? Sie will warten, bis die beiden Schiffe wieder da sind, auf welche Sie Ihre Gelder gegeben haben. Und wer bei dem Handel der Glücklichste wird gewesen sein, den will sie heiraten, Knall und Fall. Glauben Sie nun, daß es meiner Frau gleichviel sein wird, ob sie den Herrn Leander oder Sie bekömmt? He?	uncertain	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 14.Replik, Drama-Nummer: 51, ID:14	1_2_14_51_14	DAMON:Was? Lisette! Das hätte sich deine Frau entschlossen? Geh! erzähle dein Mährgen einem andern.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 15.Replik, Drama-Nummer: 52, ID:15	1_2_15_52_15	LISETTE:Nun, warum kömmt Ihnen das so unwahrscheinlich vor? Ist es ein Schelmstück, daß man lieber einen Reichen, als einen Armen, heiraten will? Ihr närrischen Mannspersonen zählt wohl eher die Rockknöpfe, wenn ihr euch zu nichts entschließen könnt. Und ich dächte doch, sie hätte noch zehnmal gescheiter getan, da sie es dem Glücke überlassen, den Ausschlag zu tun, und ihre Neigung gewiß zu bestimmen.	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 16.Replik, Drama-Nummer: 53, ID:16	1_2_16_53_16	DAMON:Himmel! wie unglücklich bin ich, wenn Ihr die Wahrheit redet! Hätte ich mir auch jemals einbilden können, daß der Reichtum so viel Reizungen für sie haben sollte? Soll der nun unsere Person erst beliebt machen? Findet sie an mir und an Leandern nichts, welches dieser verblendenden Kleinigkeit die Waage halten könnte? Bald sollte es mich gereuen, eine Person zu lieben, die so niederträchtig – – –	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 17.Replik, Drama-Nummer: 54, ID:17	1_2_17_54_17	LISETTE:Nun, nun! Fein sachte, fein sachte! Nur nicht gleich geschimpft. Zum Geier, haben Sie es denn besser haben wollen? Der Reichtum an und für sich selber ist eben dasjenige nicht, was sie an Ihnen sucht. Die Neigungen meiner Frau gegen Sie und gegen den Herrn Leander liegen itzo im Gleichgewichte, und dieser soll also nur ein kleiner Zuwurf sein, welcher der oder jener Schale den Ausschlag gibt. O! geizig sind wir eben nicht. Das sagen Sie uns nur nicht nach. Ob es uns auch gleich keine Schande sein würde, wenn wir es wären. Sie zeigen ja dadurch, daß Sie ihr eine Zeit lang nichts mehr von Ihrer Liebe vorgesagt haben, ganz deutlich, daß es Ihnen gleichviel sein würde, ob sie sich für Sie selbst oder für Ihren Freund erklärte; und Leander desgleichen. Wie hätte sie es also wohl klüger können anfangen?	mixed	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 18.Replik, Drama-Nummer: 55, ID:18	1_2_18_55_18	DAMON:Ach daß ich so verliebt, ach, daß ich so gewissenhaft in der Freundschaft bin!	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 19.Replik, Drama-Nummer: 56, ID:19	1_2_19_56_19	LISETTE:Würde es Ihnen vielleicht lieber gewesen sein, wenn meine Frau Sie beide hätte würfeln lassen, damit die meisten oder die wenigsten Augen sie dem einen oder dem andern zur Frau gegeben hätten? Es ist dieses sonst eine ganz löbliche Soldatenmode, wenn von zwei Galgenschwengeln einem das Leben soll geschenkt werden, und es einer doch eben so wenig verdient, als der andre. Ja, ja. Nicht wahr, sie hätte der Mode wohl auch hier folgen können?	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 2.Szene, 20.Replik, Drama-Nummer: 57, ID:20	1_2_20_57_20	DAMON:Eure Spöttereien sind sehr übel angebracht. Mein Herz ist – – – doch ich will nur gehen, Lisette, Lisette, in was für Unruhe habt Ihr mich gesetzt! Himmel!	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 3.Szene, 1.Replik, Drama-Nummer: 58, ID:1	1_3_1_58_1	LISETTE:Nun, der hat einen Floh hinter dem Ohre. Aber was hilft mirs? Ich kann itzo aus ihm eben so wenig klug werden, als zuvor. Wenn ich ihn nur wenigstens so weit hätte bringen können, daß er seine Liebeserklärungen wieder vorgesucht hätte. Er ließ aber auch gar nicht mit sich reden; es war, als wenn er auf Kohlen stünde. Hui! da kömmt Leander. Laßt sehn, was mit dem anzufangen ist!	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 1.Replik, Drama-Nummer: 59, ID:1	1_4_1_59_1	LISETTE:Ein klein bißgen eher, so hätten Sie ihn angetroffen.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 2.Replik, Drama-Nummer: 60, ID:2	1_4_2_60_2	LEANDER:So? Ist Damon schon hier gewesen?	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 3.Replik, Drama-Nummer: 61, ID:3	1_4_3_61_3	LISETTE:Ja. Und er wird auch gleich wieder da sein. Sie sollen sich nur ein klein wenig gedulden. Herr Leander, wie sehen Sie mir denn aber heute einmal so verdrießlich aus? Ach! das Gesichte steht einem Freier gar nicht! Pfui! fein munter! hübsch lustig!	mixed	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 4.Replik, Drama-Nummer: 62, ID:4	1_4_4_62_4	LEANDER:Wer so viel Ursache zum Verdrusse hat, wie ich – – – –	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 5.Replik, Drama-Nummer: 63, ID:5	1_4_5_63_5	LISETTE:Ach! ach! Reden Sie doch. Sie mögen wohl viel auf dem Herzen haben, das Sie bekümmert. Ich merke zwar bald, was es sein kann? Hui! daß Sie die Liebe quält. Sind Sie es einmal satt, sie der Freundschaft nachzusetzen. O Sie täten nicht mehr, als billig. Frisch gewagt! Schade auf einen Freund. Halten Sie bei meiner Frau wieder aufs neue an. Ich gebe Ihnen mein Wort, Sie bekommen sie weg. Wenn Sie aber noch länger tändeln, so bin ich Ihnen für nichts gut. Wählen kann meine Frau nicht. Wenn nicht bald einer von beiden kömmt, und sie so holt, so hat sie alles schon dem blinden Zufalle überlassen. Wer von Ihnen bei dem Handel nach Ostindien am glücklichsten wird gewesen sein, dem will sie Hand, Herz und Vermögen schenken – – – Was fehlt Ihnen? – – Was fehlt Ihnen? – –	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 6.Replik, Drama-Nummer: 64, ID:6	1_4_6_64_6	LEANDER:Lisette, um des Himmels willen, dem Glücklichsten? Nun ist mein Unglück vollkommen.	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 7.Replik, Drama-Nummer: 65, ID:7	1_4_7_65_7	LISETTE:Vollkommen? Was will das sagen? Erklären Sie sich.	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 8.Replik, Drama-Nummer: 66, ID:8	1_4_8_66_8	LEANDER:Wohl, ich will mich Euch vertrauen. Wisset denn, daß ich nur gestern Abends Briefe erhalten habe, daß mein Schiff in einem Sturme verunglücket sei. Grausamer Himmel! so war es nicht genug, mir mein Vermögen zu nehmen, du mußtest mir auch noch den Gegenstand meiner so zärtlichen Liebe entreißen?	negative	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 9.Replik, Drama-Nummer: 67, ID:9	1_4_9_67_9	LISETTE:Jener schimpfte auf meine Frau, und der schimpft auf den Himmel. Und beide sind wohl unschuldig. Herr Leander, Ihr Unglück geht mir nahe. Ich will es Ihnen schon glauben, daß es einem Verdruß genug verursachen muß, wenn man sein Vermögen verliert. Ich habe diese traurige Erfahrung noch nicht machen können; denn, Gott sei Dank, ich habe keins. Wenn aber der Verdruß, Reichtümer zu verlieren, so groß ist, als die Begierde, sie zu gewinnen, so muß er unerträglich sein. Ich gesteh es. Aber auf den andern Punkt zu kommen. Den Gegenstand Ihrer so zärtlichen Liebe – – Sie meinen doch meine Frau – – nicht? hören Sie nur – – um den haben Sie sich selbst gebracht. Doch wenn Sie mir folgen wollen, Herr Leander, so verloren als er scheint, so ist er doch noch nicht ganz verloren.	mixed	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 10.Replik, Drama-Nummer: 68, ID:10	1_4_10_68_10	LEANDER:O ich bitte Euch, redet frei. Ich will Euch in allem folgen, was mir nützlich sein kann.	neutral	neutral	positive
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 11.Replik, Drama-Nummer: 69, ID:11	1_4_11_69_11	LISETTE:Aber ich zweifle, daß Sie es tun werden.	uncertain	negative	negative
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 12.Replik, Drama-Nummer: 70, ID:12	1_4_12_70_12	LEANDER:Zweifelt nicht, ich bitte Euch.	positive	positive	positive
Damon, oder die wahre Freundschaft 1.Akt, 4.Szene, 13.Replik, Drama-Nummer: 71, ID:13	1_4_13_71_13	LISETTE:Ich kenne Ihre Hartnäckigkeit allzu wohl. Sie sind von den erhabenen Begriffen der Freundschaft zu sehr eingenommen. Damon, Ihr liebster Freund auf der Welt, das kostbarste Geschenk des Himmels, ohne welches Ihnen alle Güter, alle Ehre, alles Vergnügen, nur verachtungswert, nur eitel, nur unschmackhaft vorkommen würden, Damon, Ihr andres Ich, dessen Glück Ihr Glück, dessen Unglück Ihr Unglück ist; Damon, der edle Damon, der – – – –	uncertain	negative	negative
